Age,CO2
3.6,283.4
14.6,253.9
20.4,183.4
40.8,218.4
70.6,246.3
113.6,267.3
123.2,317.8
128.1,279.3
136.8,194.9
138.6,175.2
329.1,294.8
358.5,201.9
366.9,214.1
386.4,242.3
409.1,297.5
418.8,271.1
541.6,234.8
616.3,244.9
651,166.9
662.1,189.4
675,211
702.2,250.4
703.5,260.2
731,219.3
752.4,201.4
891.9,195.3
950,281.9
952.8,308.6
1072.8,295.3
1078.9,257.3
1168.3,264.5
1192.4,209
1212.5,221.3
1233.3,243.6
1238.7,270.4
1253,200.6
1261.7,237.7
1353.3,283.8
1412.7,218.4
1499.2,266.4
1578.9,214.8
1653,214.3
1666.8,218.1
1673.7,271.4
1854.2,267.5
1863.8,208.3
1931.8,296.7
1948.2,190.9
1955.8,183.7
1979.3,286.4
2019.7,280
2048.2,238.2
