Age,CO2,CO2.95low,CO2.95up
2338,317.42,254.87,386.99
2347,317.56,251.60,394.85
2353,305.94,245.64,375.22
2362,449.90,356.76,559.15
2372,414.51,334.17,510.72
2381,371.26,297.95,455.70
2389,377.05,304.73,460.82
2411,277.50,223.36,339.19
2425,332.10,266.60,404.96
2451,320.23,258.33,392.06
2474,340.33,273.69,415.53
2500,356.63,287.70,436.79
2501,362.03,292.74,443.06
2522,245.97,198.10,302.24
2545,335.45,270.65,409.06
2562,299.51,240.70,366.34
2579,329.81,265.41,403.16
2595,361.67,291.22,443.57
2615,278.52,223.96,340.87
2624,304.93,246.02,374.96
2631,244.92,195.82,301.36
2648,281.85,226.42,345.89
2665,301.61,242.78,370.49
2673,262.67,209.30,323.05
2680,322.77,261.44,394.95
2687,283.78,227.95,348.24
2695,275.60,220.96,336.77
2700,234.41,183.33,293.03
2703,319.02,256.98,392.62
2707,262.14,209.69,322.67
2746,338.76,272.09,414.67
2751,320.97,258.16,396.15
2764,358.16,287.63,437.73
2777,279.08,223.63,342.17
2799,281.29,226.02,345.48
2830,317.12,254.46,389.14
2832,361.40,283.47,453.32
2839,387.68,313.77,474.95
2849,307.71,247.11,376.68
2858,444.89,355.48,548.81
2912,370.57,299.69,453.08
2924,377.17,304.31,461.41
2942,337.22,272.72,411.93
2950,357.80,287.41,439.54
2951,419.31,331.06,524.94
2960,345.53,278.99,420.62
2978,328.22,265.39,402.44
3003,368.96,297.43,453.04
3011,356.95,286.47,436.08
3028,380.92,306.52,466.89
3043,419.48,336.08,517.69
3050,418.02,337.95,512.13
3059,361.32,288.22,444.56
3063,413.10,331.26,507.75
3067,379.83,304.94,466.32
3091,334.20,270.28,408.25
3100,319.31,257.29,392.65
3114,391.55,315.36,479.49
3133,345.25,277.12,423.79
3143,333.87,267.82,412.92
3152,403.18,302.67,528.35
3158,339.65,271.75,416.09
3172,451.65,364.70,553.67
3180,381.07,308.74,466.73
3189,283.44,228.38,346.56
3199,330.90,267.38,404.95
3209,326.38,263.31,399.98
3225,375.85,302.69,461.06
3240,423.24,329.16,535.99
3243,354.46,284.42,433.77
3246,316.30,255.66,387.05
3260,347.83,277.00,429.15
3270,364.75,287.47,455.99
3281,313.37,251.21,383.11
